0	778.jpg	0.09395
1	729.jpg	0.2904572362241988
2	756.jpg	0.3408865690930049
4	777.jpg	0.4105545278741912
5	782.jpg	0.423143061742716
8	750.jpg	0.45077584073794374
9	743.jpg	0.4550635286803371
10	753.jpg	0.4616591016074524
12	745.jpg	0.4683859779583501
13	725.jpg	0.48607692967883176
14	790.jpg	0.48664520501901587
18	731.jpg	0.5309887031086443
19	716.jpg	0.5403469950938933
22	726.jpg	0.5484001301157759
23	775.jpg	0.5588123612671789
24	760.jpg	0.5604838095181697
25	783.jpg	0.5621089231136613
28	793.jpg	0.5797890200184892
29	789.jpg	0.5829636948361364
30	768.jpg	0.5896851155854284
31	758.jpg	0.5964418699253097
41	747.jpg	0.6256117476150844
42	707.jpg	0.6289002606876547
49	788.jpg	0.6500494820765571
51	754.jpg	0.6640705553342957
52	739.jpg	0.6651592725678565
54	719.jpg	0.6787174568220564
57	711.jpg	0.6851243290199233
59	765.jpg	0.690510000968125
60	705.jpg	0.6923462437415256
67	780.jpg	0.7061858404648169
79	744.jpg	0.7346526208739746
88	704.jpg	0.7610510281150666
99	734.jpg	0.7770527567520753
